X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
-73.9561344937861,40.7940823884086,37F-PM-1014-03,37F,PM,10142018,3,,,,+,,,,,false,false,false,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9561344937861 40.7940823884086)
-73.9688574691102,40.7837825208444,21B-AM-1019-04,21B,AM,10192018,4,,,,+,,,,,false,false,false,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.9688574691102 40.7837825208444)
-73.9742811484852,40.775533619083,11B-PM-1014-08,11B,PM,10142018,8,,Gray,,Gray+,,Above Ground,10,,false,true,false,false,false,,false,false,false,false,false,false,false,false,,POINT (-73.97428114848522 40.775533619083)
-73.9596413903948,40.7903128889029,32E-PM-1017-14,32E,PM,10172018,14,Adult,Gray,,Gray+,Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.,,,,false,false,false,true,true,,false,false,false,false,false,false,false,true,,POINT (-73.9596413903948 40.7903128889029)
-73.9702676472613,40.7762126854894,13E-AM-1017-05,13E,AM,10172018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,,on tree stump,false,false,false,false,true,,false,false,false,false,false,false,false,false,,POINT (-73.9702676472613 40.7762126854894)
-73.9683613516225,40.7725908847499,11H-AM-1010-03,11H,AM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,,,,,false,false,false,false,true,,false,false,false,false,true,false,true,false,,POINT (-73.9683613516225 40.7725908847499)
-73.9541201789795,40.7931811701082,36H-AM-1010-02,36H,AM,10102018,2,Adult,Gray,,Gray+,just outside hectare,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,false,false,,POINT (-73.9541201789795 40.7931811701082)
-73.9582694312289,40.7917367820255,33F-AM-1008-02,33F,AM,10082018,2,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,true,,false,false,false,false,false,false,true,false,,POINT (-73.9582694312289 40.7917367820255)
-73.9674285955293,40.7829723919744,21C-PM-1006-01,21C,PM,10062018,1,Adult,Gray,,Gray+,,Ground Plane,FALSE,,false,false,false,false,false,,false,false,false,true,true,false,false,false,,POINT (-73.9674285955293 40.7829723919744)
